natural_frequency_hz,damping_ratio,baseline_peak_angle_deg,chauffeur_peak_angle_deg,peak_angle_reduction_pct,baseline_peak_angular_accel_deg_s2,chauffeur_peak_angular_accel_deg_s2,peak_angular_accel_reduction_pct
1.5,0.25,59.514483710145655,19.18700044972059,67.76078820885459,2057.402554632599,71.63511273655767,96.51817712701587
1.5,0.35,54.22946465747922,19.08914335699973,64.79931439934103,1832.3515990192527,70.36744529483411,96.15971927371922
1.5,0.5,48.38937376070833,18.930316029010495,60.87918780965561,1536.2214435822286,67.010963419682,95.63793594343906
2.0,0.25,33.315947701289566,10.628390236852363,68.09819029569142,1786.8357168916593,57.387731881932815,96.78830396440904
2.0,0.35,30.44577814887894,10.608940112227971,65.1546429184678,1422.868861665541,55.1069633061397,96.12705254919739
2.0,0.5,27.090385327497632,10.557454797056295,61.02877582054867,1043.606850162035,52.26757588986833,94.99164116431844
2.5,0.25,21.092170264227068,6.762542503793021,67.93813809069003,1744.7151691139377,52.81637610831035,96.97277945172372
2.5,0.35,19.36823221119238,6.748835295612904,65.15513020484683,1392.3860306850327,50.485629859752386,96.37416429444397
2.5,0.5,17.325918034015462,6.733651554725638,61.13538375567944,1028.2701071601764,47.706942008527705,95.3604659246312
